timestamp,function_name,active_instances
2025-02-23 18:57:00+00:00,format-converter,0
2025-02-23 18:56:00+00:00,format-converter,0
2025-02-23 18:55:00+00:00,format-converter,4
2025-02-23 18:54:00+00:00,format-converter,0
2025-02-23 18:53:00+00:00,format-converter,1
2025-02-23 18:52:00+00:00,format-converter,0
2025-02-23 18:51:00+00:00,format-converter,0
2025-02-23 18:50:00+00:00,format-converter,0
2025-02-23 18:49:00+00:00,format-converter,0
2025-02-23 18:48:00+00:00,format-converter,0
2025-02-23 18:47:00+00:00,format-converter,0
2025-02-23 18:46:00+00:00,format-converter,0
2025-02-23 18:45:00+00:00,format-converter,4
2025-02-23 18:44:00+00:00,format-converter,0
2025-02-23 18:43:00+00:00,format-converter,1
2025-02-23 18:42:00+00:00,format-converter,0
2025-02-23 18:41:00+00:00,format-converter,0
2025-02-23 18:40:00+00:00,format-converter,0
2025-02-23 18:39:00+00:00,format-converter,0
2025-02-23 18:38:00+00:00,format-converter,0
2025-02-23 18:37:00+00:00,format-converter,0
2025-02-23 18:36:00+00:00,format-converter,0
2025-02-23 18:35:00+00:00,format-converter,0
2025-02-23 18:34:00+00:00,format-converter,1
2025-02-23 18:32:00+00:00,format-converter,0
2025-02-23 18:31:00+00:00,format-converter,0
2025-02-23 18:30:00+00:00,format-converter,0
2025-02-23 18:29:00+00:00,format-converter,0
2025-02-23 18:28:00+00:00,format-converter,0
2025-02-23 18:27:00+00:00,format-converter,0
2025-02-23 18:26:00+00:00,format-converter,0
2025-02-23 18:25:00+00:00,format-converter,0
2025-02-23 18:24:00+00:00,format-converter,0
2025-02-23 18:23:00+00:00,format-converter,0
2025-02-23 18:22:00+00:00,format-converter,0
2025-02-23 18:21:00+00:00,format-converter,0
2025-02-23 18:20:00+00:00,format-converter,0
2025-02-23 18:19:00+00:00,format-converter,0
2025-02-23 18:18:00+00:00,format-converter,0
2025-02-23 18:17:00+00:00,format-converter,4
2025-02-23 18:16:00+00:00,format-converter,0
2025-02-23 18:15:00+00:00,format-converter,1
2025-02-23 18:14:00+00:00,format-converter,0
2025-02-23 18:13:00+00:00,format-converter,1
2025-02-23 18:12:00+00:00,format-converter,0
2025-02-23 18:11:00+00:00,format-converter,0
2025-02-23 19:38:00+00:00,input-handler,0
2025-02-23 19:37:00+00:00,input-handler,0
2025-02-23 19:36:00+00:00,input-handler,0
2025-02-23 19:35:00+00:00,input-handler,0
2025-02-23 19:34:00+00:00,input-handler,0
2025-02-23 19:33:00+00:00,input-handler,15
2025-02-23 19:32:00+00:00,input-handler,7
2025-02-23 19:31:00+00:00,input-handler,8
2025-02-23 19:30:00+00:00,input-handler,4
2025-02-23 19:29:00+00:00,input-handler,1
2025-02-23 19:28:00+00:00,input-handler,0
2025-02-23 19:27:00+00:00,input-handler,0
2025-02-23 19:26:00+00:00,input-handler,0
2025-02-23 19:25:00+00:00,input-handler,0
2025-02-23 19:24:00+00:00,input-handler,0
2025-02-23 19:23:00+00:00,input-handler,0
2025-02-23 19:22:00+00:00,input-handler,0
2025-02-23 19:21:00+00:00,input-handler,12
2025-02-23 19:20:00+00:00,input-handler,14
2025-02-23 19:19:00+00:00,input-handler,8
2025-02-23 19:18:00+00:00,input-handler,10
2025-02-23 19:17:00+00:00,input-handler,4
2025-02-23 19:16:00+00:00,input-handler,1
2025-02-23 19:15:00+00:00,input-handler,0
2025-02-23 19:14:00+00:00,input-handler,0
2025-02-23 19:13:00+00:00,input-handler,0
2025-02-23 19:12:00+00:00,input-handler,0
2025-02-23 19:11:00+00:00,input-handler,0
2025-02-23 19:10:00+00:00,input-handler,0
2025-02-23 19:09:00+00:00,input-handler,0
2025-02-23 19:08:00+00:00,input-handler,7
2025-02-23 19:07:00+00:00,input-handler,4
2025-02-23 19:06:00+00:00,input-handler,4
2025-02-23 19:05:00+00:00,input-handler,2
2025-02-23 19:04:00+00:00,input-handler,0
2025-02-23 19:03:00+00:00,input-handler,1
2025-02-23 19:02:00+00:00,input-handler,0
2025-02-23 19:01:00+00:00,input-handler,0
2025-02-23 19:00:00+00:00,input-handler,0
2025-02-23 18:59:00+00:00,input-handler,0
2025-02-23 18:58:00+00:00,input-handler,0
2025-02-23 18:57:00+00:00,input-handler,0
2025-02-23 18:56:00+00:00,input-handler,0
2025-02-23 18:55:00+00:00,input-handler,1
2025-02-23 18:54:00+00:00,input-handler,4
2025-02-23 18:53:00+00:00,input-handler,1
2025-02-23 18:52:00+00:00,input-handler,0
2025-02-23 18:51:00+00:00,input-handler,0
2025-02-23 18:50:00+00:00,input-handler,0
2025-02-23 18:49:00+00:00,input-handler,0
2025-02-23 18:48:00+00:00,input-handler,0
2025-02-23 18:47:00+00:00,input-handler,0
2025-02-23 18:46:00+00:00,input-handler,0
2025-02-23 18:45:00+00:00,input-handler,4
2025-02-23 18:44:00+00:00,input-handler,1
2025-02-23 18:43:00+00:00,input-handler,0
2025-02-23 18:42:00+00:00,input-handler,0
2025-02-23 18:41:00+00:00,input-handler,0
2025-02-23 18:40:00+00:00,input-handler,0
2025-02-23 18:39:00+00:00,input-handler,0
2025-02-23 18:38:00+00:00,input-handler,0
2025-02-23 18:37:00+00:00,input-handler,0
2025-02-23 18:36:00+00:00,input-handler,0
2025-02-23 18:35:00+00:00,input-handler,1
2025-02-23 18:34:00+00:00,input-handler,0
2025-02-23 18:33:00+00:00,input-handler,1
2025-02-23 18:32:00+00:00,input-handler,0
2025-02-23 18:31:00+00:00,input-handler,0
2025-02-23 18:30:00+00:00,input-handler,0
2025-02-23 18:29:00+00:00,input-handler,0
2025-02-23 18:28:00+00:00,input-handler,0
2025-02-23 18:27:00+00:00,input-handler,0
2025-02-23 18:26:00+00:00,input-handler,0
2025-02-23 18:25:00+00:00,input-handler,0
2025-02-23 18:24:00+00:00,input-handler,0
2025-02-23 18:23:00+00:00,input-handler,0
2025-02-23 18:22:00+00:00,input-handler,0
2025-02-23 18:21:00+00:00,input-handler,0
2025-02-23 18:20:00+00:00,input-handler,0
2025-02-23 18:19:00+00:00,input-handler,0
2025-02-23 18:18:00+00:00,input-handler,0
2025-02-23 18:17:00+00:00,input-handler,0
2025-02-23 18:16:00+00:00,input-handler,3
2025-02-23 18:15:00+00:00,input-handler,1
2025-02-23 18:14:00+00:00,input-handler,0
2025-02-23 18:13:00+00:00,input-handler,0
2025-02-23 18:12:00+00:00,input-handler,1
2025-02-23 18:11:00+00:00,input-handler,0
2025-02-23 19:38:00+00:00,metadata-extractor,0
2025-02-23 19:37:00+00:00,metadata-extractor,0
2025-02-23 19:36:00+00:00,metadata-extractor,0
2025-02-23 19:35:00+00:00,metadata-extractor,0
2025-02-23 19:34:00+00:00,metadata-extractor,0
2025-02-23 19:33:00+00:00,metadata-extractor,47
2025-02-23 19:32:00+00:00,metadata-extractor,17
2025-02-23 19:31:00+00:00,metadata-extractor,15
2025-02-23 19:30:00+00:00,metadata-extractor,5
2025-02-23 19:29:00+00:00,metadata-extractor,1
2025-02-23 19:28:00+00:00,metadata-extractor,0
2025-02-23 19:27:00+00:00,metadata-extractor,0
2025-02-23 19:26:00+00:00,metadata-extractor,0
2025-02-23 19:25:00+00:00,metadata-extractor,0
2025-02-23 19:24:00+00:00,metadata-extractor,0
2025-02-23 19:23:00+00:00,metadata-extractor,0
2025-02-23 19:22:00+00:00,metadata-extractor,0
2025-02-23 19:21:00+00:00,metadata-extractor,29
2025-02-23 19:20:00+00:00,metadata-extractor,42
2025-02-23 19:19:00+00:00,metadata-extractor,19
2025-02-23 19:18:00+00:00,metadata-extractor,5
2025-02-23 19:17:00+00:00,metadata-extractor,1
2025-02-23 19:16:00+00:00,metadata-extractor,0
2025-02-23 19:15:00+00:00,metadata-extractor,0
2025-02-23 19:14:00+00:00,metadata-extractor,0
2025-02-23 19:13:00+00:00,metadata-extractor,0
2025-02-23 19:12:00+00:00,metadata-extractor,0
2025-02-23 19:11:00+00:00,metadata-extractor,0
2025-02-23 19:10:00+00:00,metadata-extractor,0
2025-02-23 19:09:00+00:00,metadata-extractor,0
2025-02-23 19:08:00+00:00,metadata-extractor,9
2025-02-23 19:07:00+00:00,metadata-extractor,5
2025-02-23 19:06:00+00:00,metadata-extractor,3
2025-02-23 19:05:00+00:00,metadata-extractor,3
2025-02-23 19:04:00+00:00,metadata-extractor,0
2025-02-23 19:03:00+00:00,metadata-extractor,0
2025-02-23 19:02:00+00:00,metadata-extractor,0
2025-02-23 19:01:00+00:00,metadata-extractor,0
2025-02-23 19:00:00+00:00,metadata-extractor,0
2025-02-23 18:59:00+00:00,metadata-extractor,0
2025-02-23 18:58:00+00:00,metadata-extractor,0
2025-02-23 18:57:00+00:00,metadata-extractor,0
2025-02-23 18:56:00+00:00,metadata-extractor,3
2025-02-23 18:55:00+00:00,metadata-extractor,1
2025-02-23 18:54:00+00:00,metadata-extractor,1
2025-02-23 18:53:00+00:00,metadata-extractor,0
2025-02-23 18:52:00+00:00,metadata-extractor,0
2025-02-23 18:51:00+00:00,metadata-extractor,0
2025-02-23 18:50:00+00:00,metadata-extractor,0
2025-02-23 18:49:00+00:00,metadata-extractor,0
2025-02-23 18:48:00+00:00,metadata-extractor,0
2025-02-23 18:47:00+00:00,metadata-extractor,0
2025-02-23 18:46:00+00:00,metadata-extractor,0
2025-02-23 18:45:00+00:00,metadata-extractor,5
2025-02-23 18:44:00+00:00,metadata-extractor,1
2025-02-23 18:43:00+00:00,metadata-extractor,0
2025-02-23 18:42:00+00:00,metadata-extractor,0
2025-02-23 18:41:00+00:00,metadata-extractor,0
2025-02-23 18:40:00+00:00,metadata-extractor,0
2025-02-23 18:39:00+00:00,metadata-extractor,0
2025-02-23 18:38:00+00:00,metadata-extractor,0
2025-02-23 18:37:00+00:00,metadata-extractor,0
2025-02-23 18:36:00+00:00,metadata-extractor,0
2025-02-23 18:35:00+00:00,metadata-extractor,1
2025-02-23 18:34:00+00:00,metadata-extractor,0
2025-02-23 18:33:00+00:00,metadata-extractor,1
2025-02-23 18:32:00+00:00,metadata-extractor,0
2025-02-23 18:31:00+00:00,metadata-extractor,0
2025-02-23 18:30:00+00:00,metadata-extractor,0
2025-02-23 18:29:00+00:00,metadata-extractor,0
2025-02-23 18:28:00+00:00,metadata-extractor,0
2025-02-23 18:27:00+00:00,metadata-extractor,0
2025-02-23 18:26:00+00:00,metadata-extractor,0
2025-02-23 18:25:00+00:00,metadata-extractor,0
2025-02-23 18:24:00+00:00,metadata-extractor,0
2025-02-23 18:23:00+00:00,metadata-extractor,0
2025-02-23 18:22:00+00:00,metadata-extractor,0
2025-02-23 18:21:00+00:00,metadata-extractor,0
2025-02-23 18:20:00+00:00,metadata-extractor,0
2025-02-23 18:19:00+00:00,metadata-extractor,0
2025-02-23 18:18:00+00:00,metadata-extractor,0
2025-02-23 18:17:00+00:00,metadata-extractor,5
2025-02-23 18:16:00+00:00,metadata-extractor,0
2025-02-23 18:15:00+00:00,metadata-extractor,1
2025-02-23 18:14:00+00:00,metadata-extractor,0
2025-02-23 18:13:00+00:00,metadata-extractor,0
2025-02-23 18:12:00+00:00,metadata-extractor,1
2025-02-23 18:11:00+00:00,metadata-extractor,0
2025-02-23 19:38:00+00:00,rgb-channel-separator,5
2025-02-23 19:37:00+00:00,rgb-channel-separator,8
2025-02-23 19:36:00+00:00,rgb-channel-separator,9
2025-02-23 19:35:00+00:00,rgb-channel-separator,9
2025-02-23 19:34:00+00:00,rgb-channel-separator,8
2025-02-23 19:33:00+00:00,rgb-channel-separator,65
2025-02-23 19:32:00+00:00,rgb-channel-separator,36
2025-02-23 19:31:00+00:00,rgb-channel-separator,22
2025-02-23 19:30:00+00:00,rgb-channel-separator,10
2025-02-23 19:29:00+00:00,rgb-channel-separator,5
2025-02-23 19:28:00+00:00,rgb-channel-separator,2
2025-02-23 19:27:00+00:00,rgb-channel-separator,1
2025-02-23 19:26:00+00:00,rgb-channel-separator,1
2025-02-23 19:25:00+00:00,rgb-channel-separator,3
2025-02-23 19:24:00+00:00,rgb-channel-separator,3
2025-02-23 19:23:00+00:00,rgb-channel-separator,3
2025-02-23 19:22:00+00:00,rgb-channel-separator,4
2025-02-23 19:21:00+00:00,rgb-channel-separator,30
2025-02-23 19:20:00+00:00,rgb-channel-separator,45
2025-02-23 19:19:00+00:00,rgb-channel-separator,28
2025-02-23 19:18:00+00:00,rgb-channel-separator,16
2025-02-23 19:17:00+00:00,rgb-channel-separator,4
2025-02-23 19:16:00+00:00,rgb-channel-separator,3
2025-02-23 19:15:00+00:00,rgb-channel-separator,3
2025-02-23 19:14:00+00:00,rgb-channel-separator,3
2025-02-23 19:13:00+00:00,rgb-channel-separator,3
2025-02-23 19:12:00+00:00,rgb-channel-separator,3
2025-02-23 19:11:00+00:00,rgb-channel-separator,4
2025-02-23 19:10:00+00:00,rgb-channel-separator,4
2025-02-23 19:09:00+00:00,rgb-channel-separator,4
2025-02-23 19:08:00+00:00,rgb-channel-separator,4
2025-02-23 19:07:00+00:00,rgb-channel-separator,6
2025-02-23 19:06:00+00:00,rgb-channel-separator,9
2025-02-23 19:05:00+00:00,rgb-channel-separator,0
2025-02-23 19:04:00+00:00,rgb-channel-separator,0
2025-02-23 19:03:00+00:00,rgb-channel-separator,1
2025-02-23 19:02:00+00:00,rgb-channel-separator,0
2025-02-23 19:01:00+00:00,rgb-channel-separator,0
2025-02-23 19:00:00+00:00,rgb-channel-separator,0
2025-02-23 18:59:00+00:00,rgb-channel-separator,0
2025-02-23 18:58:00+00:00,rgb-channel-separator,0
2025-02-23 18:57:00+00:00,rgb-channel-separator,0
2025-02-23 18:56:00+00:00,rgb-channel-separator,0
2025-02-23 18:55:00+00:00,rgb-channel-separator,4
2025-02-23 18:54:00+00:00,rgb-channel-separator,0
2025-02-23 18:53:00+00:00,rgb-channel-separator,1
2025-02-23 18:52:00+00:00,rgb-channel-separator,0
2025-02-23 18:51:00+00:00,rgb-channel-separator,0
2025-02-23 18:50:00+00:00,rgb-channel-separator,0
2025-02-23 18:49:00+00:00,rgb-channel-separator,0
2025-02-23 18:48:00+00:00,rgb-channel-separator,0
2025-02-23 18:47:00+00:00,rgb-channel-separator,0
2025-02-23 18:46:00+00:00,rgb-channel-separator,0
2025-02-23 18:45:00+00:00,rgb-channel-separator,4
2025-02-23 18:44:00+00:00,rgb-channel-separator,1
2025-02-23 18:43:00+00:00,rgb-channel-separator,1
2025-02-23 18:42:00+00:00,rgb-channel-separator,1
2025-02-23 18:41:00+00:00,rgb-channel-separator,1
2025-02-23 18:40:00+00:00,rgb-channel-separator,1
2025-02-23 18:39:00+00:00,rgb-channel-separator,0
2025-02-23 18:38:00+00:00,rgb-channel-separator,0
2025-02-23 18:37:00+00:00,rgb-channel-separator,1
2025-02-23 18:36:00+00:00,rgb-channel-separator,1
2025-02-23 18:35:00+00:00,rgb-channel-separator,1
2025-02-23 18:34:00+00:00,rgb-channel-separator,1
2025-02-23 18:33:00+00:00,rgb-channel-separator,1
2025-02-23 18:32:00+00:00,rgb-channel-separator,0
2025-02-23 18:31:00+00:00,rgb-channel-separator,0
2025-02-23 18:30:00+00:00,rgb-channel-separator,0
2025-02-23 18:29:00+00:00,rgb-channel-separator,0
2025-02-23 18:28:00+00:00,rgb-channel-separator,0
2025-02-23 18:27:00+00:00,rgb-channel-separator,0
2025-02-23 18:26:00+00:00,rgb-channel-separator,0
2025-02-23 18:25:00+00:00,rgb-channel-separator,0
2025-02-23 18:24:00+00:00,rgb-channel-separator,0
2025-02-23 18:23:00+00:00,rgb-channel-separator,0
2025-02-23 18:22:00+00:00,rgb-channel-separator,0
2025-02-23 18:21:00+00:00,rgb-channel-separator,0
2025-02-23 18:20:00+00:00,rgb-channel-separator,0
2025-02-23 18:19:00+00:00,rgb-channel-separator,0
